ID	Purchase
ID0001	0
ID0003	0
ID0007	0
ID0008	0
ID0013	0
ID0014	0
ID0016	0
ID0017	0
ID0018	0
ID0023	0
ID0025	0
ID0026	0
ID0027	0
ID0028	0
ID0029	0
ID0030	0
ID0031	0
ID0034	0
ID0036	0
ID0037	1
ID0038	0
ID0042	0
ID0044	0
ID0045	0
ID0047	0
ID0049	0
ID0050	0
ID0054	0
ID0055	0
ID0056	0
ID0057	0
ID0058	0
ID0060	0
ID0061	0
ID0062	0
ID0063	0
ID0064	0
ID0068	0
ID0069	0
ID0070	0
ID0072	0
ID0073	0
ID0077	0
ID0078	0
ID0079	0
ID0080	0
ID0081	0
ID0084	0
ID0085	0
ID0086	0
ID0087	0
ID0088	0
ID0090	1
ID0092	0
ID0095	0
ID0096	0
ID0101	0
ID0102	0
ID0103	0
ID0104	0
ID0105	0
ID0106	0
ID0107	0
ID0108	0
ID0111	0
ID0114	0
ID0117	0
ID0123	0
ID0124	0
ID0129	0
ID0133	0
ID0136	0
ID0138	0
ID0139	0
ID0140	0
ID0142	0
ID0144	0
ID0145	0
ID0152	0
ID0154	0
ID0156	0
ID0159	0
ID0160	0
ID0165	0
ID0168	0
ID0169	0
ID0170	0
ID0172	0
ID0173	0
ID0175	0
ID0180	0
ID0182	0
ID0185	0
ID0192	0
ID0194	0
ID0198	0
ID0199	0
ID0200	0
ID0203	0
ID0205	0
ID0206	0
ID0208	0
ID0209	0
ID0210	0
ID0211	0
ID0212	0
ID0214	0
ID0216	0
ID0217	0
ID0218	0
ID0219	0
ID0220	0
ID0221	0
ID0224	0
ID0227	0
ID0229	0
ID0233	0
ID0234	0
ID0237	0
ID0240	0
ID0241	0
ID0243	0
ID0246	0
ID0247	0
ID0248	0
ID0251	0
ID0253	0
ID0256	0
ID0258	0
ID0261	0
ID0262	0
ID0264	0
ID0266	0
ID0270	0
ID0272	0
ID0274	0
ID0277	0
ID0280	0
ID0283	0
ID0287	0
ID0290	0
ID0291	0
ID0292	0
ID0293	0
ID0294	0
ID0295	0
ID0297	0
ID0301	0
ID0302	0
ID0304	0
ID0307	0
ID0309	0
ID0310	0
ID0313	0
ID0314	0
ID0316	0
ID0317	0
ID0320	1
ID0328	0
ID0334	0
ID0335	0
ID0338	0
ID0340	0
ID0341	0
ID0343	0
ID0344	0
ID0345	0
ID0347	0
ID0348	0
ID0352	0
ID0355	0
ID0356	0
ID0357	0
ID0358	0
ID0360	0
ID0361	0
ID0365	0
ID0366	0
ID0367	0
ID0368	0
ID0369	0
ID0371	0
ID0375	0
ID0377	0
ID0378	0
ID0379	0
ID0384	0
ID0386	0
ID0388	0
ID0392	0
ID0393	0
ID0399	0
ID0401	0
ID0403	0
ID0404	0
ID0412	0
ID0413	0
ID0414	0
ID0416	0
ID0417	0
ID0419	0
ID0420	0
ID0423	0
ID0426	0
ID0427	0
ID0428	0
ID0430	0
ID0432	0
ID0438	0
ID0439	0
ID0441	0
ID0442	0
ID0443	0
ID0444	0
ID0446	0
ID0448	0
ID0449	0
ID0451	0
ID0452	0
ID0453	0
ID0455	0
ID0456	0
ID0459	0
ID0461	0
ID0462	1
ID0463	0
ID0464	0
ID0465	0
ID0466	0
ID0469	0
ID0471	0
ID0472	0
ID0478	0
ID0481	0
ID0482	0
ID0483	0
ID0484	0
ID0485	0
ID0490	0
ID0492	0
ID0493	0
ID0494	0
ID0495	0
ID0500	0
ID0501	0
ID0503	0
ID0504	0
ID0506	0
ID0507	0
ID0508	0
ID0509	0
ID0510	0
ID0513	0
ID0514	0
ID0515	0
ID0516	0
ID0520	0
ID0522	0
ID0523	0
ID0525	0
ID0527	0
ID0529	0
ID0530	0
ID0532	0
ID0540	0
ID0541	0
ID0545	0
ID0548	0
ID0549	0
ID0550	0
ID0554	0
ID0555	0
ID0558	0
ID0559	0
ID0560	0
ID0561	0
ID0565	0
ID0566	0
ID0568	0
ID0572	0
ID0577	0
ID0578	0
ID0579	0
ID0581	0
ID0585	0
ID0587	0
ID0588	0
ID0591	0
ID0595	0
ID0596	0
ID0598	0
ID0599	0
ID0603	0
ID0605	0
ID0606	0
ID0607	0
ID0608	0
ID0609	0
ID0610	0
ID0611	0
ID0612	0
ID0613	0
ID0614	0
ID0615	0
ID0616	0
ID0621	0
ID0628	0
ID0629	0
ID0632	0
ID0635	0
ID0638	0
ID0639	0
ID0642	0
ID0646	0
ID0648	0
ID0650	0
ID0652	0
ID0653	0
ID0657	0
ID0658	0
ID0659	0
ID0660	0
ID0661	0
ID0662	0
ID0664	0
ID0665	0
ID0667	0
ID0668	0
ID0669	0
ID0671	0
ID0674	0
ID0676	0
ID0678	0
ID0679	0
ID0681	0
ID0682	0
ID0683	0
ID0685	0
ID0686	0
ID0689	0
ID0690	0
ID0692	0
ID0693	0
ID0694	0
ID0696	0
ID0697	0
ID0698	0
ID0703	0
ID0707	0
ID0709	0
ID0710	0
ID0712	0
ID0714	0
ID0716	0
ID0717	0
ID0719	0
ID0721	0
ID0725	0
ID0728	0
ID0729	0
ID0731	0
ID0737	0
ID0744	0
ID0746	0
ID0748	0
ID0750	0
ID0751	0
ID0766	0
ID0768	0
ID0772	0
ID0773	0
ID0774	0
ID0775	0
ID0776	0
ID0783	0
ID0787	0
ID0788	0
ID0789	0
ID0791	0
ID0794	0
ID0795	0
ID0798	0
ID0802	0
ID0804	0
ID0805	0
ID0806	0
ID0807	0
ID0810	0
ID0817	0
ID0818	0
ID0820	0
ID0821	0
ID0822	0
ID0827	0
ID0828	0
ID0829	0
ID0830	0
ID0831	0
ID0833	0
ID0835	0
ID0839	0
ID0842	0
ID0844	0
ID0845	0
ID0846	0
ID0847	0
ID0850	0
ID0852	0
ID0856	0
ID0858	0
ID0859	0
ID0860	0
ID0862	0
ID0863	0
ID0867	0
ID0869	0
ID0870	0
ID0871	0
ID0872	0
ID0873	0
ID0875	0
ID0876	0
ID0877	0
ID0879	1
ID0880	0
ID0881	0
ID0885	0
ID0888	0
ID0890	0
ID0891	0
ID0893	0
ID0896	0
ID0897	1
ID0898	0
ID0900	0
ID0902	0
ID0906	0
ID0909	0
ID0912	0
ID0913	0
ID0916	0
ID0920	0
ID0921	0
ID0922	0
ID0924	0
ID0929	0
ID0932	0
ID0933	0
ID0934	0
ID0935	0
ID0937	0
ID0938	0
ID0939	0
ID0941	0
ID0943	0
ID0955	0
ID0956	0
ID0957	0
ID0958	0
ID0963	0
ID0964	0
ID0966	0
ID0967	0
ID0970	0
ID0971	0
ID0972	0
ID0973	0
ID0978	0
ID0979	0
ID0980	0
ID0981	0
ID0983	0
ID0985	0
ID0989	0
ID0991	0
ID0992	0
ID0993	0
ID0994	0
ID0995	0
ID0996	0
ID0997	0
ID0999	0
ID1002	0
ID1003	0
ID1004	1
ID1006	0
ID1009	0
ID1011	0
ID1016	0
ID1019	0
ID1021	0
ID1022	0
ID1023	0
ID1025	0
ID1027	0
ID1030	0
ID1032	0
ID1034	0
ID1036	0
ID1038	0
ID1040	0
ID1041	0
ID1042	1
ID1044	0
ID1045	0
ID1046	0
ID1047	0
ID1048	0
ID1049	0
ID1052	0
ID1053	0
ID1055	0
ID1057	0
ID1058	0
ID1059	0
ID1060	0
ID1063	0
ID1065	0
ID1066	0
ID1067	0
ID1070	0
ID1071	0
ID1073	0
ID1074	0
ID1075	0
ID1078	0
ID1079	1
ID1084	0
ID1085	0
ID1087	0
ID1090	0
ID1097	0
ID1098	0
ID1099	0
ID1100	0
ID1102	0
ID1103	0
ID1104	0
ID1105	0
ID1109	0
ID1112	0
ID1113	0
ID1117	0
ID1118	0
ID1119	0
ID1124	0
ID1126	0
ID1127	0
ID1130	0
ID1136	0
ID1138	0
ID1140	0
ID1141	0
ID1142	0
ID1143	0
ID1145	0
ID1148	0
ID1150	0
ID1151	0
ID1158	0
ID1161	0
ID1162	0
ID1163	0
ID1165	0
ID1168	0
ID1169	0
ID1171	0
ID1172	0
ID1173	0
ID1177	0
ID1178	0
ID1179	0
ID1180	0
ID1187	0
ID1191	0
ID1192	0
ID1193	0
ID1196	0
ID1197	0
ID1199	0
ID1201	0
ID1204	0
ID1206	0
ID1207	0
ID1209	0
ID1210	0
ID1212	0
ID1213	0
ID1214	0
ID1216	0
ID1217	0
ID1220	0
ID1221	0
ID1222	0
ID1223	0
ID1225	0
ID1227	0
ID1229	0
ID1234	0
ID1235	0
ID1240	0
ID1242	0
ID1245	0
ID1251	0
ID1259	0
ID1264	0
ID1267	0
ID1268	0
ID1269	0
ID1272	0
ID1273	0
ID1282	0
ID1285	0
ID1288	0
ID1289	0
ID1291	0
ID1296	0
ID1298	0
ID1300	0
ID1303	0
ID1307	0
ID1308	0
ID1309	0
ID1310	0
ID1311	0
ID1313	0
ID1316	0
ID1321	0
ID1322	0
ID1324	0
ID1326	0
ID1330	0
ID1332	0
ID1333	0
ID1334	0
ID1335	0
ID1336	0
ID1340	0
ID1346	0
ID1348	0
ID1349	0
ID1351	0
ID1352	0
ID1354	0
ID1355	0
ID1358	0
ID1361	0
ID1362	0
ID1364	0
ID1366	0
ID1371	0
ID1373	0
ID1379	0
ID1381	0
ID1383	0
ID1384	0
ID1385	0
ID1386	0
ID1388	1
ID1391	0
ID1394	0
ID1395	0
ID1396	0
ID1397	0
ID1399	0
ID1401	0
ID1402	0
ID1410	0
ID1413	0
ID1415	0
ID1418	0
ID1420	0
ID1422	0
ID1423	0
ID1424	0
ID1426	0
ID1427	0
